date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,lastModified,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hash
2020-03-16,56,8314,49250,1691,NA,42,NA,NA,NA,NA,NA,2020-03-16T00:00:00Z,100,42,2020-03-16T00:00:00Z,59255,57564,57564,21,6,16301,1568,17869,b01b32004ba85498bfb75873b4c548f79f1401ba
2020-03-17,56,11918,62899,1687,325,55,NA,NA,NA,NA,NA,2020-03-17T00:00:00Z,122,55,2020-03-17T00:00:00Z,76504,74817,74817,22,13,13649,3604,17253,5edea2541c17824154fb32ce68396ce1bc5026bf
2020-03-18,56,15088,84818,2526,416,67,NA,NA,NA,NA,NA,2020-03-18T00:00:00Z,153,67,2020-03-18T00:00:00Z,102432,99906,99906,31,12,21919,3170,25089,31a0f2ece3951143068772951ece0133a16a4045
2020-03-19,56,19753,108093,3016,617,85,NA,NA,NA,NA,NA,2020-03-19T00:00:00Z,199,85,2020-03-19T00:00:00Z,130862,127846,127846,46,18,23275,4665,27940,4ff26a870ff33450f94c19c7808524ad00e2ae57
2020-03-20,56,26005,138453,3330,1042,108,NA,NA,NA,NA,NA,2020-03-20T00:00:00Z,267,108,2020-03-20T00:00:00Z,167788,164458,164458,68,23,30360,6252,36612,9974f8e4ab633b7b00956815cb1c85f864f154c4
2020-03-21,56,32888,176840,3468,1436,2020,NA,NA,NA,NA,NA,2020-03-21T00:00:00Z,328,2020,2020-03-21T00:00:00Z,213196,209728,209728,61,1912,38387,6883,45270,edd8fc30f91133c4d13ed017863c1d3009d5008d
2020-03-22,56,42139,212861,2842,2155,3023,NA,NA,NA,NA,NA,2020-03-22T00:00:00Z,471,3023,2020-03-22T00:00:00Z,257842,255000,255000,143,1003,36021,9251,45272,76e4473b1bab38361a1fce5f13490424849d946e
2020-03-23,56,53588,259612,14571,2770,3937,NA,NA,NA,NA,NA,2020-03-23T00:00:00Z,568,3937,2020-03-23T00:00:00Z,327771,313200,313200,97,914,46751,11449,58200,51f2ae7890937e2bd34a7cc88d6fb35eaf5a5462
2020-03-24,56,64219,317936,14433,3828,5117,NA,NA,NA,NA,NA,2020-03-24T00:00:00Z,799,5117,2020-03-24T00:00:00Z,396588,382155,382155,231,1180,58324,10631,68955,c289053d6b8813c06bfec434a7f8c4ec7cb892d6
2020-03-25,56,77072,389346,51235,4971,7021,NA,74,167,NA,146,2020-03-25T00:00:00Z,1031,7021,2020-03-25T00:00:00Z,517653,466418,466418,232,1904,71410,12853,84263,f02a855b1096d817ea7fbd513eedefc33ede2018
2020-03-26,56,94720,473329,60251,7617,9520,1299,91,258,NA,97,2020-03-26T00:00:00Z,1342,9520,2020-03-26T00:00:00Z,628300,568049,568049,311,2499,83983,17648,101631,11882014894f8d4950af14bab0ad1d24abac6ca5
2020-03-27,56,113771,557783,60091,10789,12083,1792,124,324,NA,2418,2020-03-27T00:00:00Z,1743,12083,2020-03-27T00:00:00Z,731645,671554,671554,401,2563,84454,19051,103505,cffd414ec41a95e79ffcd2302d6ce11b1e9a2a94
2020-03-28,56,133467,644924,65709,12179,14508,2174,140,390,NA,3143,2020-03-28T00:00:00Z,2262,14508,2020-03-28T00:00:00Z,844100,778391,778391,519,2425,87141,19696,106837,809b2268d3694f5d16c45ef6b251debea264a360
2020-03-29,56,153072,712866,65545,13833,17283,2456,156,439,NA,4052,2020-03-29T00:00:00Z,2778,17283,2020-03-29T00:00:00Z,931483,865938,865938,516,2775,67942,19605,87547,8e551053252e6f9d19f8420f7097a92418ad1a26
2020-03-30,56,174999,809587,65369,15574,19819,3087,187,451,NA,4560,2020-03-30T00:00:00Z,3355,19819,2020-03-30T00:00:00Z,1049955,984586,984586,577,2536,96721,21927,118648,8b7655cff0b13b501b86e061d9049c940ca76c49
2020-03-31,56,199707,897214,59518,17856,23725,3487,236,507,NA,5666,2020-03-31T00:00:00Z,4216,23725,2020-03-31T00:00:00Z,1156439,1096921,1096921,861,3906,87627,24708,112335,b17be1fb02197d874b3fc7de0244dde74d07f5f0
2020-04-01,56,225457,979672,59665,19982,27953,3937,407,561,140,7084,2020-04-01T00:00:00Z,5204,27953,2020-04-01T00:00:00Z,1264794,1205129,1205129,988,4228,82458,25750,108208,b01b71d127220863bc1a10afb4840038dc3b4cd1
2020-04-02,56,253478,1070676,62097,21833,32128,4410,456,574,140,8586,2020-04-02T00:00:00Z,6353,32128,2020-04-02T00:00:00Z,1386251,1324154,1324154,1149,4175,91004,28021,119025,f53247dc7bbfcb93222311bb835f5b87c03cf254
2020-04-03,56,285374,1171349,61976,24564,36682,4811,486,605,147,10861,2020-04-03T00:00:00Z,7612,36682,2020-04-03T00:00:00Z,1518699,1456723,1456723,1259,4554,100673,31896,132569,5c6e75992d07621257065882bce467f324c4d01e
2020-04-04,56,318586,1367397,15569,29095,41768,5383,554,656,147,12816,2020-04-04T00:00:00Z,9052,41768,2020-04-04T00:00:00Z,1701552,1685983,1685983,1440,5086,196048,33212,229260,be7d29f86a796603bd42fb0da9cb1c56881d2b5b
2020-04-05,56,344070,1461107,17303,30905,45671,5677,760,652,147,14513,2020-04-05T00:00:00Z,10337,45671,2020-04-05T00:00:00Z,1822480,1805177,1805177,1285,3903,93710,25484,119194,3ec53a2cb0443f3b4b0d5651ff235d8267ebe6aa
2020-04-06,56,372961,1583741,17283,34663,48617,6943,814,2961,147,16554,2020-04-06T00:00:00Z,11591,48617,2020-04-06T00:00:00Z,1973985,1956702,1956702,1254,2946,122634,28891,151525,de7056b9e5077615aa1c3e73e7182f4ae3493a26
2020-04-07,56,403585,1707438,16548,42294,51598,9875,889,4076,151,18443,2020-04-07T00:00:00Z,13547,51598,2020-04-07T00:00:00Z,2127571,2111023,2111023,1956,2981,123697,30624,154321,816bf7277243a0a390157e840e854aa1f9bb4467
2020-04-08,56,434066,1824425,17219,44063,55909,9932,1013,4131,216,21102,2020-04-08T00:00:00Z,15491,55909,2020-04-08T00:00:00Z,2275710,2258491,2258491,1944,4311,116987,30481,147468,73593ce7c4f4258442c9af1e1e73d8042b44c05c
2020-04-09,56,468483,1959702,17622,49826,59832,12254,924,5794,39,24819,2020-04-09T00:00:00Z,17463,59832,2020-04-09T00:00:00Z,2445807,2428185,2428185,1972,3923,135277,34417,169694,9394ac315cea4ea6994d69478e79a602c463e11f
2020-04-10,56,502718,2082969,17435,51745,64766,12698,1185,5937,41,28997,2020-04-10T00:00:00Z,19518,64766,2020-04-10T00:00:00Z,2603122,2585687,2585687,2055,4934,123267,34235,157502,3d7ae44ad79bb9ce50dccdffc5a247fb6ef89c4b
2020-04-11,56,533333,2191245,16593,54757,67591,13280,1405,5978,154,31567,2020-04-11T00:00:00Z,21500,67591,2020-04-11T00:00:00Z,2741171,2724578,2724578,1982,2825,108276,30615,138891,46789e4f596a90c3be9bde8192100efab5c1e74e
2020-04-12,56,561204,2302697,16419,54749,70879,13623,1455,5986,160,34081,2020-04-12T00:00:00Z,23130,70879,2020-04-12T00:00:00Z,2880320,2863901,2863901,1630,3288,111452,27871,139323,647d13999f0367ff4edcd8649ab76f374cb8e059
2020-04-13,56,586461,2410894,17159,55295,75164,13632,1628,6168,210,35372,2020-04-13T00:00:00Z,24702,75164,2020-04-13T00:00:00Z,3014514,2997355,2997355,1572,4285,108197,25257,133454,16d58ce6d445731068959b5f32a28b92fc39252f
2020-04-14,56,612100,2537440,16615,58719,78446,14039,1715,5975,221,39268,2020-04-14T00:00:00Z,26989,78446,2020-04-14T00:00:00Z,3166155,3149540,3149540,2287,3282,126546,25639,152185,3358e8a973afeb06ef93cdccb99a32985e7d1eb7
2020-04-15,56,642369,2645266,16901,59260,82880,14667,1783,6032,223,43435,2020-04-15T00:00:00Z,29475,82880,2020-04-15T00:00:00Z,3304536,3287635,3287635,2486,4434,107826,30269,138095,a7763897372684d3627b8eb7c7e2e2851fe44bf6
2020-04-16,56,673209,2777909,16927,58625,85951,15150,1834,5940,137,48851,2020-04-16T00:00:00Z,31616,85951,2020-04-16T00:00:00Z,3468045,3451118,3451118,2141,3071,132643,30840,163483,785a739d517c2ae0b9eb7e0d180d6da96eabb6b6
2020-04-17,56,705222,2905487,10889,57808,89356,14910,2052,6096,148,53533,2020-04-17T00:00:00Z,33693,89356,2020-04-17T00:00:00Z,3621598,3610709,3610709,2077,3405,127578,32013,159591,f0dc9e8739aa1e915a4c12c78ea042099e5cc7c5
2020-04-18,56,733204,3023739,9906,56591,92919,14788,2096,5729,205,62840,2020-04-18T00:00:00Z,35530,92919,2020-04-18T00:00:00Z,3766849,3756943,3756943,1837,3563,118252,27982,146234,0b70c9594e1b0f3d014bf6d15c6241b84d06b09b
2020-04-19,56,760609,3150097,11324,55570,95158,14548,2145,5603,214,67205,2020-04-19T00:00:00Z,37263,95158,2020-04-19T00:00:00Z,3922030,3910706,3910706,1733,2239,126358,27405,153763,0ef4adefb4f6371d628966b4e849d49333bfb5b4
2020-04-20,56,786446,3270316,4037,55677,97369,14691,2193,5567,214,69493,2020-04-20T00:00:00Z,39028,97369,2020-04-20T00:00:00Z,4060799,4056762,4056762,1765,2211,120219,25837,146056,81f05d02985336566ca6b2e26eb000f858e63119
2020-04-21,56,812761,3396937,3956,58579,100051,15228,2315,5514,214,72842,2020-04-21T00:00:00Z,41457,100051,2020-04-21T00:00:00Z,4213654,4209698,4209698,2429,2682,126621,26315,152936,fedca8a532d8fc456f7be755b814ab844c706603
2020-04-22,56,841669,3691630,4191,58130,103138,15341,2370,5474,227,92978,2020-04-22T00:00:00Z,43522,103138,2020-04-22T00:00:00Z,4537490,4533299,4533299,2065,3087,294693,28908,323601,3b2a6efd3cd40153a3c3d4b2677620ad36bce8d9
2020-04-23,56,873455,3853043,4258,57889,105940,15163,2428,5464,227,96921,2020-04-23T00:00:00Z,45286,105940,2020-04-23T00:00:00Z,4730756,4726498,4726498,1764,2802,161413,31786,193199,23da564df86efab74f7536c99fe990c47776850b
2020-04-24,56,907651,4054473,4396,56075,108278,15078,2468,5187,227,101296,2020-04-24T00:00:00Z,47151,108278,2020-04-24T00:00:00Z,4966520,4962124,4962124,1865,2338,201430,34196,235626,d2bfac0d74b7b75126174f432dbf5c23b221a67f
2020-04-25,56,943677,4296137,5315,56344,110734,15020,2516,5266,227,112539,2020-04-25T00:00:00Z,48865,110734,2020-04-25T00:00:00Z,5245129,5239814,5239814,1714,2456,241664,36026,277690,bc39f9d090284288f0ac5a969900472ab186267d
2020-04-26,56,971091,4475361,4445,55050,112926,14831,2571,5121,227,116529,2020-04-26T00:00:00Z,50053,112926,2020-04-26T00:00:00Z,5450897,5446452,5446452,1188,2192,179224,27414,206638,67bfaf7fc3ddb380158766a4a9dea79d3cc66e83
2020-04-27,56,993136,4649200,4077,54971,116002,9655,3720,4867,195,121323,2020-04-27T00:00:00Z,51290,116002,2020-04-27T00:00:00Z,5646413,5642336,5642336,1237,3076,173839,22045,195884,8f9b1f92031f90b8392dc77d30c04645e2149577
2020-04-28,56,1018234,4830411,4206,54940,118081,9491,3798,4760,195,139041,2020-04-28T00:00:00Z,53332,118081,2020-04-28T00:00:00Z,5852851,5848645,5848645,2042,2079,181211,25098,206309,1860c08bda6ed35b7ed4485b946fe96cdc1f60a4
2020-04-29,56,1045414,5042284,4832,54930,121496,9612,4093,4796,365,147165,2020-04-29T00:00:00Z,56024,121496,2020-04-29T00:00:00Z,6092530,6087698,6087698,2692,3415,211873,27180,239053,6264fd323113826fb7482e0462d8300bca859f4f
2020-04-30,56,1075059,5246526,2775,53793,123786,9486,4192,4712,373,154648,2020-04-30T00:00:00Z,58141,123786,2020-04-30T00:00:00Z,6324360,6321585,6321585,2117,2290,204242,29645,233887,412dce06c5822f0f1272bf77271b44e7f836ea5c
2020-05-01,56,1108139,5509065,1639,52370,133575,9205,4300,4707,376,163644,2020-05-01T00:00:00Z,59894,133575,2020-05-01T00:00:00Z,6618843,6617204,6617204,1753,9789,262539,33080,295619,37e14f5d38543cf5d86c20f9aa4cb143d1d16d72
2020-05-02,56,1137462,5728622,1578,51734,135606,9403,4386,4845,375,174987,2020-05-02T00:00:00Z,61435,135606,2020-05-02T00:00:00Z,6867662,6866084,6866084,1541,2031,219557,29323,248880,8026a672c056cab4de81c4ee66dfcd20ee64b42f
2020-05-03,56,1163236,5939570,2812,50312,137569,9292,4502,4761,425,179733,2020-05-03T00:00:00Z,62650,137569,2020-05-03T00:00:00Z,7105618,7102806,7102806,1215,1963,210948,25774,236722,02449e148dd11c87d386de7d42685c5aede36c12
2020-05-04,56,1185643,6148968,2791,50062,139220,9366,4579,4848,430,186752,2020-05-04T00:00:00Z,63663,139220,2020-05-04T00:00:00Z,7337402,7334611,7334611,1013,1651,209398,22407,231805,2ed3d1ea8c10736ff4f67fa0a5d120abcddd17b4
2020-05-05,56,1208070,6398029,2633,50906,141203,9348,4794,4818,439,189336,2020-05-05T00:00:00Z,66106,141203,2020-05-05T00:00:00Z,7608732,7606099,7606099,2443,1983,249061,22427,271488,c6d7926d98740395fd7e5fb42a0ef682b67234b3
2020-05-06,56,1233056,6618535,2742,50227,143322,9380,4911,4753,449,189425,2020-05-06T00:00:00Z,68039,143322,2020-05-06T00:00:00Z,7854333,7851591,7851591,1933,2119,220506,24986,245492,57e2ee94d5221935a5d0c93859082a5bc5a8ad53
2020-05-07,56,1260600,6893380,3171,49130,147064,12137,5174,7070,529,194528,2020-05-07T00:00:00Z,70778,147064,2020-05-07T00:00:00Z,8157151,8153980,8153980,2739,3742,274845,27544,302389,9510f698c45eccffd2500b10f2e1deda87d73ddb
2020-05-08,56,1288223,7164633,3307,47718,153956,11780,6294,6788,531,198459,2020-05-08T00:00:00Z,72558,153956,2020-05-08T00:00:00Z,8456163,8452856,8452856,1780,6892,271253,27623,298876,820b5227e1fb08d99aea3471d8e1a32b07c90b9b
2020-05-09,56,1312957,7431505,3054,46637,155664,11496,6367,6551,543,211976,2020-05-09T00:00:00Z,73992,155664,2020-05-09T00:00:00Z,8747516,8744462,8744462,1434,1708,266872,24734,291606,e9423ce962be29e0039f26538798a27c3e502bd9
2020-05-10,56,1334560,7677942,3095,44943,156719,11393,6445,6395,547,215591,2020-05-10T00:00:00Z,75016,156719,2020-05-10T00:00:00Z,9015597,9012502,9012502,1024,1055,246437,21603,268040,f98495b43ddddfdcb692320d34fcde8fc53b7a62
2020-05-11,56,1352797,8042513,1989,44191,157957,11147,6488,6350,551,232142,2020-05-11T00:00:00Z,75904,157957,2020-05-11T00:00:00Z,9397299,9395310,9395310,888,1238,364571,18237,382808,141dee39cce3b256c1f18c5dfc41295f3ffaa9fe
2020-05-12,56,1375405,8328597,1803,45199,159536,11241,5595,6352,559,238857,2020-05-12T00:00:00Z,77377,159536,2020-05-12T00:00:00Z,9705805,9704002,9704002,1473,1579,286084,22608,308692,95e662492e7f4f6e68fd89a58a9a6b48fb59a6f1
2020-05-13,56,1396623,8626983,1983,44514,161345,10978,6713,6156,572,243430,2020-05-13T00:00:00Z,79071,161345,2020-05-13T00:00:00Z,10025589,10023606,10023606,1694,1809,298386,21218,319604,e3105d289c5f6401c97e40595714915b50671447
2020-05-14,56,1423281,8965923,2673,44075,164551,10888,6795,5940,582,246414,2020-05-14T00:00:00Z,80940,164551,2020-05-14T00:00:00Z,10391877,10389204,10389204,1869,3206,338940,26658,365598,9dbb357b3e566379d323e13bdc02172fd06cdf85
2020-05-15,56,1447962,9301010,2457,42854,165904,10704,6890,5746,589,250747,2020-05-15T00:00:00Z,82440,165904,2020-05-15T00:00:00Z,10751429,10748972,10748972,1500,1353,335087,24681,359768,c4cf34d181cb9567b59b4b501d606d765e291411
2020-05-16,56,1472626,9639952,3788,42896,167760,10509,6945,5529,592,268376,2020-05-16T00:00:00Z,83696,167760,2020-05-16T00:00:00Z,11116366,11112578,11112578,1256,1856,338942,24664,363606,65f9a41ca442155cac0041c7fe31a6440a67a322
2020-05-17,56,1492912,9993228,3449,41108,168959,10164,7003,5467,593,272265,2020-05-17T00:00:00Z,84585,168959,2020-05-17T00:00:00Z,11489589,11486140,11486140,889,1199,353276,20286,373562,f93e89fd958b86e2d8af3b797b3d7ccef93f7913
2020-05-18,56,1513888,10328373,3596,40869,170116,9987,7064,5257,602,283178,2020-05-18T00:00:00Z,85451,170116,2020-05-18T00:00:00Z,11845857,11842261,11842261,866,1157,335145,20976,356121,cb52396554489514537731fb262eec9872976d31
2020-05-19,56,1534682,10708687,2944,41091,171713,9829,7217,5032,606,289484,2020-05-19T00:00:00Z,86743,171713,2020-05-19T00:00:00Z,12246313,12243369,12243369,1292,1597,380314,20794,401108,fdd30ace20cb7681d6df29a1c658dc72f3bced64
2020-05-20,56,1556219,11095879,2973,40884,173709,9829,7319,4911,613,294312,2020-05-20T00:00:00Z,88125,173709,2020-05-20T00:00:00Z,12655071,12652098,12652098,1382,1996,387192,21537,408729,b54fc33dcf914fb01227ca52b51ae74037e79948
2020-05-21,56,1582778,11491382,3641,39915,178339,9090,7412,4868,616,298418,2020-05-21T00:00:00Z,89523,178339,2020-05-21T00:00:00Z,13077801,13074160,13074160,1398,4630,395503,26559,422062,72926649dc1db635296ff6bba32f6897f7cc6de9
2020-05-22,56,1607297,11878071,3709,38802,182385,9048,7689,4716,633,350135,2020-05-22T00:00:00Z,90808,182385,2020-05-22T00:00:00Z,13489077,13485368,13485368,1285,4046,386689,24519,411208,b83db79004bdd67737939208763cc6aa72fdf6d2
2020-05-23,56,1628995,12247941,4084,37873,183763,8812,7770,4620,638,361239,2020-05-23T00:00:00Z,91856,183763,2020-05-23T00:00:00Z,13881020,13876936,13876936,1048,1378,369870,21698,391568,7cb1a6b421b214b23284be3bf9240fb336060bdf
2020-05-24,56,1649129,12611040,3860,36706,184684,8487,7801,4383,639,366736,2020-05-24T00:00:00Z,92538,184684,2020-05-24T00:00:00Z,14264029,14260169,14260169,682,921,363099,20134,383233,2be9328ac3381fb53d445195eb91f8c3f8961e9f
2020-05-25,56,1667857,13014080,3368,36668,185686,8472,7847,4237,642,379157,2020-05-25T00:00:00Z,93099,185686,2020-05-25T00:00:00Z,14685305,14681937,14681937,561,1002,403040,18728,421768,c83527a677d8542100a359a5d5c06a4b5db6ff51
2020-05-26,56,1684477,13304174,1549,36609,203006,8585,7899,4215,650,384902,2020-05-26T00:00:00Z,93739,203006,2020-05-26T00:00:00Z,14990200,14988651,14988651,640,17320,290094,16620,306714,b7ce6c9787714d3d837cbdb5196d64703c230904
2020-05-27,56,1703872,13594995,3132,37241,204719,8547,8015,4222,666,391508,2020-05-27T00:00:00Z,95048,204719,2020-05-27T00:00:00Z,15301999,15298867,15298867,1309,1713,290821,19395,310216,a805ba3acb57ce5c3617bfde3107716e27354171
2020-05-28,56,1726482,13987700,1906,36967,206349,8389,8109,4080,676,399991,2020-05-28T00:00:00Z,96290,206349,2020-05-28T00:00:00Z,15716088,15714182,15714182,1242,1630,392705,22610,415315,69866f0831901d7e4611e61dad9e467e25ec9514
2020-05-29,56,1749967,14455719,2978,35871,208064,8175,8235,4032,689,406446,2020-05-29T00:00:00Z,97467,208064,2020-05-29T00:00:00Z,16208664,16205686,16205686,1177,1715,468019,23485,491504,8721736785e4ccf0eeff67ee24743ff2a0bc2352
2020-05-30,56,1773809,14859661,1668,34650,209488,7956,8305,4004,698,416461,2020-05-30T00:00:00Z,98399,209488,2020-05-30T00:00:00Z,16635138,16633470,16633470,932,1424,403942,23842,427784,03dcfddab4fb8f20bc2a05cb1176a6c198a092d4
2020-05-31,56,1795481,15237410,3270,33840,210464,7623,8445,3669,704,444758,2020-05-31T00:00:00Z,99056,210464,2020-05-31T00:00:00Z,17036161,17032891,17032891,657,976,377749,21672,399421,9a7aaf3a5719e623bd2251dca1b7249e1a06425a
2020-06-01,56,1815860,15630279,3455,33160,213260,7588,8485,3950,704,458231,2020-06-01T00:00:00Z,99721,213260,2020-06-01T00:00:00Z,17449594,17446139,17446139,665,2796,392869,20379,413248,e27f4897a06c3fadcda10e3ad4c02b4b10d64a88
2020-06-02,56,1835856,16030147,4054,32728,214845,7403,8566,3852,710,463868,2020-06-02T00:00:00Z,100692,214845,2020-06-02T00:00:00Z,17870057,17866003,17866003,971,1585,399868,19996,419864,154cc9e9df778360e39a8d893f5d519d780c28ef
2020-06-03,56,1856170,16477798,3556,32081,217100,7224,8688,3749,717,479258,2020-06-03T00:00:00Z,101657,217100,2020-06-03T00:00:00Z,18337524,18333968,18333968,965,2255,447651,20314,467965,5562d5f6f5fa03f65d4b836f80090eeb473e531c
2020-06-04,56,1876998,16919220,3474,31659,214259,7054,8787,3665,723,485002,2020-06-04T00:00:00Z,102535,214259,2020-06-04T00:00:00Z,18799692,18796218,18796218,878,-2841,441422,20828,462250,92eb4555178d8b161adcf62e932470ee7c866978
2020-06-05,56,1900361,17405323,1749,31335,215699,6912,8863,3523,740,491706,2020-06-05T00:00:00Z,103379,215699,2020-06-05T00:00:00Z,19307433,19305684,19305684,844,1440,486103,23363,509466,48c738ef3e6ec8378f458b915d6b78db7ab195df
2020-06-06,56,1923399,17865199,1796,30909,216716,6754,8920,3476,750,500849,2020-06-06T00:00:00Z,104100,216716,2020-06-06T00:00:00Z,19790394,19788598,19788598,721,1017,459876,23038,482914,3aced038d99596271a847002f2447cf1321ce9a1
2020-06-07,56,1942173,18292768,1733,30299,217401,6493,8957,3298,753,506367,2020-06-07T00:00:00Z,104549,217401,2020-06-07T00:00:00Z,20236674,20234941,20234941,449,685,427569,18774,446343,af4f77479f80655131ca2d895c3bde8cd359f815
2020-06-08,56,1959341,18679292,1606,29969,218115,6394,9013,3240,762,518522,2020-06-08T00:00:00Z,105206,218115,2020-06-08T00:00:00Z,20640239,20638633,20638633,657,714,386524,17168,403692,c1a65496d5fe31a6ce019175dea2efb27f4db888
2020-06-09,56,1976497,19082599,1661,30547,219642,6450,9141,3090,771,524855,2020-06-09T00:00:00Z,106099,219642,2020-06-09T00:00:00Z,21060757,21059096,21059096,893,1527,403307,17156,420463,a5b752d13b393df92751ed441c091484b31db290
2020-06-10,56,1997261,19491381,1737,30203,221126,6242,9225,3020,780,533504,2020-06-10T00:00:00Z,106973,221126,2020-06-10T00:00:00Z,21490379,21488642,21488642,874,1484,408782,20764,429546,0aac0c4201b49fac88b765461a925eeaef79d537
2020-06-11,56,2019312,19928409,1816,29064,222493,6067,9295,2886,792,540292,2020-06-11T00:00:00Z,107876,222493,2020-06-11T00:00:00Z,21949537,21947721,21947721,903,1367,437028,22051,459079,1c794029c49311b7a2cacf53ec9c4fbd72e5982b
2020-06-12,56,2042793,20499244,1783,28524,223738,6012,9373,2734,814,547386,2020-06-12T00:00:00Z,108647,223738,2020-06-12T00:00:00Z,22543820,22542037,22542037,771,1245,570835,23481,594316,aa8db051249866b29e7dff760975450cc463e566
2020-06-13,56,2067927,20973938,1698,27902,224843,5878,9430,2726,830,556606,2020-06-13T00:00:00Z,109340,224843,2020-06-13T00:00:00Z,23043563,23041865,23041865,693,1105,474694,25134,499828,9f87056b6dcf2578886ce2f09c33e780f2b200ea
2020-06-14,56,2089167,21431267,1672,27247,225483,5743,9466,2716,834,561816,2020-06-14T00:00:00Z,109696,225483,2020-06-14T00:00:00Z,23522106,23520434,23520434,356,640,457329,21240,478569,5cd29fdd0b87ff29a3c772152f7b276301f932fc
2020-06-15,56,2107822,21860351,1619,27115,226002,5695,9516,2636,835,576334,2020-06-15T00:00:00Z,110075,226002,2020-06-15T00:00:00Z,23969792,23968173,23968173,379,519,429084,18655,447739,6755acb78d9fec5c0dd2c8fd61b361dcdf38c258
2020-06-16,56,2131460,22303739,1604,28028,227327,5564,9590,2594,845,583503,2020-06-16T00:00:00Z,110788,227327,2020-06-16T00:00:00Z,24436803,24435199,24435199,713,1325,443388,23638,467026,474f19890ea9cbfebd4a39eeb403486b733e2d0e
2020-06-17,56,2155331,22768619,1745,28311,228457,5605,9665,2588,857,592191,2020-06-17T00:00:00Z,111566,228457,2020-06-17T00:00:00Z,24925695,24923950,24923950,778,1130,464880,23871,488751,98bd59bc570e960a48b7c2826e67848936665a79
2020-06-18,56,2182843,23258846,1903,28185,229497,5458,9736,2520,869,599288,2020-06-18T00:00:00Z,112259,229497,2020-06-18T00:00:00Z,25443592,25441689,25441689,693,1040,490227,27512,517739,524b6c3ce2f5ef1ec792461c007cb2f597479ff6
2020-06-19,56,2213898,23799037,2032,28392,231110,5332,9876,2434,884,606715,2020-06-19T00:00:00Z,112906,231110,2020-06-19T00:00:00Z,26014967,26012935,26012935,647,1613,540191,31055,571246,e096b474d985157aed502d966242444da473a43b
2020-06-20,56,2245856,24333555,2108,27757,231855,5220,9908,2380,888,617460,2020-06-20T00:00:00Z,113527,231855,2020-06-20T00:00:00Z,26581519,26579411,26579411,621,745,534518,31958,566476,9bd80fd4eff1875454ed078a61de987b652b18da
2020-06-21,56,2273143,24818476,2084,27718,232369,5155,9944,2321,904,622133,2020-06-21T00:00:00Z,113824,232369,2020-06-21T00:00:00Z,27093703,27091619,27091619,297,514,484921,27287,512208,215a97fc18d4eda931502238562c926f5301e36b
2020-06-22,56,2300193,25256198,2028,28490,233169,5311,10002,2299,909,640198,2020-06-22T00:00:00Z,114106,233169,2020-06-22T00:00:00Z,27558419,27556391,27556391,282,800,437722,27050,464772,571fd63f3ad6c80f22129aa6b63fcf61d4d2ad0d
2020-06-23,56,2333211,25724594,1891,29920,234426,5416,10077,2293,918,647548,2020-06-23T00:00:00Z,114809,234426,2020-06-23T00:00:00Z,28059696,28057805,28057805,703,1257,468396,33018,501414,5ecd2c1126e26a976f151bff0d037232b4d55d73
2020-06-24,56,2371917,26198316,2049,30826,235736,5279,10173,2248,934,656161,2020-06-24T00:00:00Z,115531,235736,2020-06-24T00:00:00Z,28572282,28570233,28570233,722,1310,473722,38706,512428,9fb40b6267ac764e6e112724ce5419555da235c0
2020-06-25,56,2410978,26796842,2133,31532,236993,5305,10257,2214,951,663562,2020-06-25T00:00:00Z,118031,236993,2020-06-25T00:00:00Z,29209953,29207820,29207820,2500,1257,598526,39061,637587,f29e38890a88c4b4d5770436f86bcd1c326ca7ac
2020-06-26,56,2455351,27355416,2201,31423,238519,5263,10334,2075,966,670809,2020-06-26T00:00:00Z,118650,238519,2020-06-26T00:00:00Z,29812968,29810767,29810767,619,1526,558574,44373,602947,d28d2902aab75c2b63f7584fd72a5e02f160fd0a
2020-06-27,56,2498822,27902822,2186,32220,239576,5296,10415,2159,977,679308,2020-06-27T00:00:00Z,119156,239576,2020-06-27T00:00:00Z,30403830,30401644,30401644,506,1057,547406,43471,590877,c76401840e79b9f3870ca039962ca0289d948dcf
